name,tax_id,irs_name,street_address,city,state,zip,affiliation,website,advertises_apr,facebook,twitter,youtube,instagram,tiktok,donor_website,other_names
WIREGRASS HOPE GROUP,63-0858322,Wiregrass Hope Group Inc,171 Westgate Pkwy,Dothan,AL,36303,Care Net,http://wiregrasshope.com/ Yes,,https://www.facebook.com/WiregrassHopePregnancyCenter,,https://www.instagram.com/wiregrasshopepregnancycenter/,,,,
WIREGRASS EMERGENCY PREGNANCY SERVICE,23-7433834,Wiregrass Emergency Pregnancy Service,442 Glover Ave,Enterprise,AL,36330,Heartbeat International,https://wepsenterprise.com/ Yes,,https://www.facebook.com/WEPS4LIFE,,,,,https://friends.wepsenterprise.com/,
THE PREGNANCY RESOURCE CENTER,631287026,Crisis Pregnancy Resource Center Inc.,604 South Eufaula Ave,Eufaula,AL,36027,Care Net,https://prceufaula.com Yes,,https://www.facebook.com/PRCEufaula/,,,,,,CRISIS PREGNANCY CENTER OF BARBOUR COUNTY
WOMEN'S CARE MEDICAL CENTER - FAIRHOPE,58-1905858,Womens Care Medical Center Inc,8720 Fairhope Ave,Fairhope,AL,36532,"Care Net, Heartbeat International",http://www.womenscaremedicalcenter.org/ Yes,,https://www.facebook.com/WomensCareMedicalCenter,,https://www.instagram.com/womenscaremedicalcenter/,,,,
HOPE'S CHOICE OF ALABAMA,45-3706396,Hopes Choice,1031 Temple Ave North,Fayette,AL,35555,Care Net,http://hopeschoiceofalabama.com/ No,,https://www.facebook.com/Hopes-Choice-158213150955321/,,,,,,
SHOALS WOMEN'S CLINIC,63-1132468,Shoals Sav A Life Inc,2201 Cloyd Blvd,Florence,AL,35630,Care Net,https://shoalswomensclinic.com/ Yes,,https://www.facebook.com/hsthtposa:l/s/tswaivttaelrif.ec/om/SavhAttLpisfe:/7/w4w00w6.4yo0utube.comht/tupsse:/r//wSwhowa.ilnsSstaavgAraLmife.com/shoalssavhatltifpes/://www.ssal.life/,,,,,,
WOMEN'S CARE CENTER,58-2034681,Womens Care Center,107 4th St SW,Fort Payne,AL,35967,Care Net,https://caredekalb.org/ No,,https://www.facebook.com/Womens-Care-CenterSav-A-Life-of-DeKalb-Co-Inc-104316526963/,,,,,,
ALABAMA PREGNANCY & FAMILY CENTER - FULTONDALE,87-2563991,Alabama Pregnancy Test Center,1209 Decatur Hwy,Fultondale,AL,35068,"Care Net, Heartbeat International",https://alabamapregnancytestcenter.com/ Yes,,https://www.facebook.com/AlabamaPregnancyTestCenter,,https://www.instagram.com/alabamapfc/,,,,North Jefferson Women's Center
WOMEN'S CARE MEDICAL CENTER - GULF SHORES,58-1905858,Womens Care Medical Center Inc,3757 Gulf Shores Pkwy,Gulf Shores,AL,36542,"Care Net, Heartbeat International",http://www.womenscaremedicalcenter.org/ Yes,,https://www.facebook.com/WomensCareMedicalCenter,,https://www.instagram.com/womenscaremedicalcenter/,,,,
REAL LIFE PREGNANCY CENTER - GUNTERSVILLE,63-1024595,Real Life Ministries,"1939 Patterson St, Suite 101",Guntersville,AL,35976,Care Net,http://www.reallifecpc.org/ No,,https://www.facebook.com/RealLifeCrisisPregnancyCenter/,,,,,,
FIRST SOURCE FOR WOMEN,20-5659416,The First Source For Women Inc,203 Commercial St NE,Hanceville,AL,35077,Heartbeat International,https://firstsourceforwomen.org/ No,,https://www.facebook.com/firstsourcecullman,,https://www.instagram.com/firstsourcecullman/,,,,
PREGNANCY RESOURCE CENTER HUEYTOWN,63-0895952,Sav A Life Bessemer Alabama Inc,2719 19th St North,Hueytown,AL,35023,Care Net,https://www.prchueytown.com/ Yes,,https://www.facebook.com/p/Pregnancy-Resource-Center-HueytownBessemer-100091943660767/,,,,,http://www.savalifebessemer.org/,
HUNTSVILLE PREGNANCY RESOURCE CENTER,63-0825378,Choose Life Of North Alabama Inc,220 Rands Ave SE,Huntsville,AL,35801,"Care Net, Heartbeat International",https://huntsvilleprc.org/ Yes,,https://www.facebook.com/hHttupnst:s//vtiwlleitptetcr./com/huntsvilleprc,,https://www.instagram.com/huntsvilleprc,,,,
ALPHA HEALTH NETWORK - JACKSON,63-1072822,Alpha Womens Resource Center Inc,6479 Hwy 43 North,Jackson,AL,36545,"Care Net, Heartbeat International",https://alphahealthnetwork.com/ Yes,,https://www.facebook.com/people/Alpha-Womens-Resource-Page/1000h8t2tp9s2:5//3w9w6w54.i5n/stagram.com/alphawrcjahcttkpsso:/n/a/lpha-wrc.com/,,,,,,
HOPE FAMILY SERVICES - JACKSONVILLE,63-0857147,Sav A Life Inc,721 Mountain St NW,Jacksonville,AL,36265,Heartbeat International,https://hopefamilyservices.com/ Yes,,https://www.facebook.com/hopefamilyservicescalhouncounty/,,https://www.instagram.com/hope_famhilyttspesr:v//iscuepsp/orthopefamilyservices.com/,,,,
PREGNANCY TEST AND RESOURCE CENTER,63-1045733,Masters Plan Ministries Inc,600 20th Ave East,Jasper,AL,35501,"Care Net, Heartbeat International",https://ptrcjasperal.org/ No,,https://www.facebook.com/ptrcjasperal,,https://www.instagram.com/ptrcjasperal/,,,,
"SAV-A-LIFE OF LANETT VALLEY, INC.",63-0937959,Sav A Life Lanett Valley Inc,711 North 4th Ave,Lanett,AL,36863,"Care Net, Heartbeat International",http://lanettpregnancy.org/ Yes,,https://www.facebook.com/Savalifelanett,,https://www.instagram.com/savalifeal/,,,,
ANN'S NEW LIFE CENTER - LEEDS,26-0897066,Anns New Life Center for Women,1312 7th St NE,Leeds,AL,35094,,https://annsnewlifecenter.com/ Yes,,https://www.facebook.com/AnnsNewLifeCenter/,,,,,,
2B CHOICES FOR WOMEN,63-0627699,Catholic Social Services,188 South Florida St,Mobile,AL,36606,Archdiocese of Mobile,https://catholicsocialservices.org/2b-choices-for-women No,,https://www.facebook.com/2BChoices,,,,,,
WOMEN'S RESOURCE CENTER - MOBILE,63-0892496,Womens Resource Center,718 Downtowner Loop West,Mobile,AL,36609,"Care Net, Heartbeat International",http://www.wrcmobile.org/ Yes,,https://www.facebook.com/WRCMobile,,https://www.instagram.com/wrc_mobile/,,,,
ALPHA HEALTH NETWORK - MONROEVILLE,63-1072822,Alpha Womens Resource Center Inc,"1530 South Alabama Ave, Suite 4",Monroeville,AL,36460,"Care Net, Heartbeat International",https://alphahealthnetwork.com/ Yes,,https://www.facebook.com/people/Alpha-Womens-Resource-Page/1000h8t2tp9s2:5//3w9w6w54.i5n/stagram.com/alphawrcjahcttkpsso:/n/a/lpha-wrc.com/,,,,,,
COPE PREGNANCY CENTER,63-0828551,Counseling Outreach Pregnancy Emergency Inc Term,2158 Madison Ave,Montgomery,AL,36107,Heartbeat International,https://www.pregnancymontgomery.org/ Yes,,https://www.facebook.com/pregnancymontgomery,,,,,,
FIRST CHOICE WOMEN'S MEDICAL CENTER - EAST,63-0830699,First Choice Womens Medical Center Inc,380 Mendel Pkwy East,Montgomery,AL,36107,"Care Net, Heartbeat International",https://firstchoicemontgomery.com/ No,,https://www.facebook.com/FirstChoiceWMC/,,https://www.instagram.com/firstchoice_mgm/,,,,
FIRST CHOICE WOMEN'S MEDICAL CENTER - SOUTH,63-0830699,First Choice Womens Medical Center Inc,2019 Normandie Dr,Montgomery,AL,36111,"Care Net, Heartbeat International",https://firstchoicemontgomery.com/ No,,https://www.facebook.com/FirstChoiceWMC/,,https://www.instagram.com/firstchoice_mgm/,,,,
NEW DAY WOMEN'S CENTER,63-0922831,Sav A Life Of Tuscaloosa Inc,4300 Hwy 69 North,Northport,AL,35473,,https://newdaywomens.org/ No,,https://www.facebook.com/ChoicesPregnancyTuscaloosa/,,,,,,
BLOUNT COUNTY SAV-A-LIFE,63-1162905,Blount County Save A Life Inc,311 1st Ave East,Oneonta,AL,35121,Care Net,http://www.bcsavalife.com/ No,,https://www.facebook.com/Blount-County-Sav-A-Life-102494459804263/,,,,,,
DALE COUNTY PREGNANCY CENTER,63-1242508,Sav A Life Of Dale County Inc,1892 Andrews Ave,Ozark,AL,36361,Care Net,https://www.dalecountypregnancycenter.com No,,https://www.facebook.com/SaveaLifeOzark,,,,,,
SAV-A-LIFE SHELBY,63-1249465,Sav A Life Shelby Inc,3156 Pelham Pkwy,Pelham,AL,35124,"Care Net, Heartbeat International",https://savalifeshelby.org/ No,,https://www.facebook.com/savalifeshelby,,,,,,Women First Pregnancy Center
RIVER REGION PREGNANCY CENTER,63-1044523,River Region Pregnancy Center,150 1st St,Prattville,AL,36067,"Care Net, Heartbeat International",https://rrpregnancycenter.org/ Yes,,https://www.facebook.com/AmIPregnantRRPC/,,,,,,
MARY'S HAVEN PREGNANCY & FAMILY RESOURCE CENTER,83-3618830,St Joseph Parish Prattville,511 North Memorial Dr,Prattville,AL,36067,St. Joseph Church,https://www.stjosephprattville.org/mary-s-haven No,,https://www.facebook.com/MarysHaven,,,,,,
ETOWAH PREGNANCY TESTING CENTER,63-0865809,Etowah Pregnancy Testing Center Inc,119 Church St,Rainbow City,AL,35906,"Care Net, Heartbeat International",http://www.lovethemboth.org/ No,,https://www.facebook.com/etowahptc/,,,,,,
WOMEN'S CARE MEDICAL CENTER - ROBERTSDALE,58-1905858,Womens Care Medical Center Inc,18555 Carolina St,Robertsdale,AL,36567,"Care Net, Heartbeat International",http://www.womenscaremedicalcenter.org/ Yes,,https://www.facebook.com/WomensCareMedicalCenter,,https://www.instagram.com/womenscaremedicalcenter/,,,,
WOMEN'S RESOURCE CENTER - SARALAND,63-0892496,Womens Resource Center,611 Norton Ave,Saraland,AL,36571,"Care Net, Heartbeat International",http://wrcmobile.org/ Yes,,https://www.facebook.com/WRCMobile,,https://www.instagram.com/wrc_mobile/,,,,
TURNING POINT PREGNANCY CENTER,20-8779909,Turning Point Pregnancy Center Inc,510 Harley St,Scottsboro,AL,35768,"Care Net, Heartbeat International",https://www.turningpointpregnancycenter.com/ Yes,,https://www.facebook.com/TurningPointPC/,,,,,,
SAFE HARBOR WOMEN'S MEDICAL CLINIC,91-2020280,Selma Dallas County Sav A Life Inc An Alabama Non Profit Corporation,408 Dallas Ave,Selma,AL,36701,,http://safeharborwmc.org/ No,,,,,,,,
WOMEN'S RESOURCE CENTER - SEMMES,63-0892496,Womens Resource Center,4276 McCrary Rd,Semmes,AL,36575,"Care Net, Heartbeat International",http://www.wrcmobile.org/ Yes,,https://www.facebook.com/WRCMobile,,https://www.instagram.com/wrc_mobile/,,,,
PREGNANCY CARE CENTER,63-1239251,St Clair County Save A Life Inc,5389 US Hwy 11,Springville,AL,35146,Care Net,https://yourpregnancyhelp.com/ No,,https://www.facebook.com/elmorecountypregnancycenter/,,,,,,
RESOURCES FOR WOMEN,81-0548081,Coosa Valley Resources For Women Inc,201 West Fort Williams St,Sylacauga,AL,35150,Care Net,https://www.resources4women.com/ No,,https://www.facebook.com/Resources4WomenSylacauga,,,,,,
LIFE CHOICE PREGNANCY CENTER,26-0101590,Tallassee Lifechoice Pregnancy Center,403 James St,Tallassee,AL,36078,Care Net,http://www.lifechoicepregnancy.com/ No,,,,,,,,
SAV-A-LIFE WOMEN'S LIFE CENTER - TROY,63-0926089,Save-A-Life Troy,523 South 3 Notch St,Troy,AL,36081,Care Net,https://pregnancyhelp-troy-al.com/ Yes,,https://www.facebook.com/SavALifeTroy,,,,,,
FIRST CHOICE WOMEN'S MEDICAL CENTER - ELMORE COUNTY,63-1095007,Elmore County Pregnancy Center,104 Company St,Wetumpka,AL,36092,Care Net,https://firstchoicemontgomery.com/ No,,https://www.facebook.com/FirstChoiceWMC,,https://www.instagram.com/firstchoice_mgm/,,,,First Choice Elmore County
COMMUNITY PREGNANCY CENTER,92-0100206,"Crisis Pregnancy Center, Inc.",4231 Lake Otis Pkwy,Anchorage,AK,99508,"Care Net, Heartbeat International",http://www.cpcanchorage.com/ No,,https://www.facebook.com/cpcanchorage/,,https://www.instagram.com/communityhpttrpesg:/n/farniecnydcseonftceprcaakn/chorage.com/,,,,
HEART TO HEART PREGNANCY & FAMILY RESOURCE CENTER,92-0174635,Pregnancy Resource Center,"16941 North Eagle River Loop Rd, Suite 2",Eagle River,AK,99577,Care Net,http://www.h2hprc.org/ No,,https://www.facebook.com/HearttoHeartPRC/,,https://www.instagram.com/hearttoheartak/,,,,
FYNDOUT FREE PREGNANCY CENTER,92-0132239,Fyndout Free Pregnancy Center,4474 Pikes Landing Rd,Fairbanks,AK,99709,,https://fyndoutfree.com/ No,,https://www.facebook.com/FyndoutFreePregnancyCenter/,,https://www.instagram.com/fyndout_free,,,,
WATER'S EDGE PREGNANCY CARE CENTER,92-0115549,Pregnancy Care Center Of Homer,3896 Bartlett St,Homer,AK,99603,Care Net,https://www.watersedgepregnancycare.org/ Yes,,https://www.facebook.com/Waters-Edge-A-Family-Resource-Center-218637701514702/,,,,,,
JUNEAU PREGNANCY RESOURCE CENTER,83-1005857,Juneau Pregnancy Resource Center,9040 Glacier Hwy,Juneau,AK,99801,Heartbeat International,https://www.juneaupregnancyresource.org/ Yes,,https://www.facebook.com/JuneauPRC/,,https://www.instagram.com/juneauprc/,,,,
ABC LIFE CHOICES,920113488,ABC PREGNANCY CARE CENTER,501 Frontage Rd,Kenai,AK,99611,Care Net,https://www.abclifechoices.org Yes,,https://www.facebook.com/people/ABC-Life-Choices/100084150186374/,,,,,https://friendsofabc.org/,
SITKA PREGNANCY CENTER,47-1102227,Sitka Pregnancy Center,"180 Price St, Suite 25",Sitka,AK,99835,Heartbeat International,https://www.sitkapregnancycenter.org/ No,,https://www.facebook.com/Sitka-Pregnancy-Center-1396803657000453/,,,,,,
HEARTREACH CENTER,92-0115423,HeartReach Center,865 South Seward Meridian Pkwy,Wasilla,AK,99654,"Care Net, Heartbeat International",https://heartreachalaska.com/ Yes,,https://www.facebook.com/heartreachalaska,,https://www.instagram.com/heartreachhattkp/s://www.friendsofheartreach.com/,,,,
HOPE WOMEN'S CENTER - APACHE JUNCTION,86-0668354,Hope Women's Center Inc.,252 North Ironwood Dr,Apache Junction,AZ,85117,,https://hopewomenscenter.org/ No,,https://www.facebook.com/HopeWomensCenterApacheJunction/,,https://www.instagram.com/hopewomehnttspcse:/n/hteorp/ewomenscenter.org/give-now/,,,,
CHOICES PREGNANCY CENTER - BUCKEYE MOBILE,86-0536082,Choices Pregnancy Centers of Greater Phoenix Inc,302 North Fourth St,Buckeye,AZ,85326,Heartbeat International,http://choicesaz.com/ Yes,,https://www.facebook.com/hcthtposic:/e/tswaiztt/er.com/Chohitctpess:A//Zwww.youtube.com/user/ABCSministries,,,,,,
CHOICES PREGNANCY CENTER - CASA GRANDE MOBILE,86-0536082,Choices Pregnancy Centers of Greater Phoenix Inc,1100 East Trinity Place,Casa Grande,AZ,85122,Heartbeat International,http://choicesaz.com/ Yes,,https://www.facebook.com/hcthtposic:/e/tswaiztt/er.com/Chohitctpess:A//Zwww.youtube.com/user/ABCSministries,,,,,,
PREGNANCY CARE CENTER OF CHANDLER,20-3820132,Pregnancy Care Center of Chandler,"590 North Alma School Rd, Suite 130",Chandler,AZ,85224,Care Net,http://pccchandler.com/ Yes,,https://www.facebook.com/PCCChandler/,,https://www.instagram.com/pccchandler/,,,,
LIFE PREGNANCY CENTER,86-0521084,Word of Life Assembly of God,"448 North Hwy 89, Suite C",Chino Valley,AZ,86323,Word of Life Assembly of God,https://lifepregnancycv.com/ No,,https://www.facebook.com/lprccv/?,,https://www.instagram.com/pregnancyhctetpnst:e//rg_icvheibnuotvtearll.ecyo/m/lprc-donate,,,,
HOPE WOMEN'S CENTER - COOLIDGE,86-0668354,Hope Women's Center Inc.,2020 South 9th St,Coolidge,AZ,85128,,https://hopewomenscenter.org/coolidge-center/ No,,https://www.facebook.com/HopeWomensCenterCoolidge/,,https://www.instagram.com/hopewomehnttspcse:/n/hteorp/ewomenscenter.org/give-now/,,,,
HOUSE OF RUTH PREGNANCY CARE CENTER,86-0806114,House of Ruth Pregnancy Care Center Inc.,1198 East Mingus Ave,Cottonwood,AZ,86326,Heartbeat International,https://www.houseofruthpregnancy.com/ No,,https://www.facebook.com/houseofruthpregnancy/,,,,,https://gyve.io/give/houseofruth,
HOPE PREGNANCY RESOURCE CENTER,86-0334186,Hope Crisis Pregnancy Center,224 South Kendrick St,Flagstaff,AZ,86001,Heartbeat International,http://hopeprc.net/ Yes,,https://www.facebook.com/hHttoppse:/C/trwisititser.com/resource_hope,,https://www.instagram.com/hopeprc/https://www.myegiving.com/app/giving/eGiving-151757,,,,
CHOICES PREGNANCY CENTER - GLENDALE,86-0536082,Choices Pregnancy Centers of Greater Phoenix Inc,10555 North 58th Dr,Glendale,AZ,85302,Heartbeat International,http://choicesaz.com/ Yes,,https://www.facebook.com/hcthtposic:/e/tswaiztt/er.com/ChoicesAZ,,https://www.instagram.com/hopeprc/,,,,
ADVICE AND AID PREGNANCY CENTER,30-0081868,Advice and Aid Pregnancy Center,2975 Northern Ave,Kingman,AZ,86409,,https://www.pregnancyadviceaid.org/ No,,,,,,,https://www.paypal.com/donate?token=MxAwd8viQsejt,uasnTdr IAEiddM POreegDn8annecvy4 PWroXbdlceXme CweXnFt7eorTBSxwJ2Vb2HYZU67VNeTckpa_fv_KKjOnKTgL44JKeRjAd
LAKE HAVASU CITY PREGNANCY CARE,94-2833940,Pregnancy Care Inc.,"500 North Lake Havasu Ave, Suite B104",Lake Havasu City,AZ,86403,,https://www.lakehavasupregnancycare.com/ No,,,,,,,,
HOPE WOMEN'S CENTER - MARICOPA,86-0668354,Hope Women's Center Inc.,45978 West McDavid Rd,Maricopa,AZ,85139,,https://hopewomenscenter.org/ No,,https://www.facebook.com/hopewomenscentermaricopa/,,https://www.instagram.com/hopewomehnttspcse:/n/hteorp/ewomenscenter.org/give-now/,,,,
CHOICES PREGNANCY CENTER - MESA,86-0536082,Choices Pregnancy Centers of Greater Phoenix Inc,"3155 East Southern Ave, 2nd Floor",Mesa,AZ,85204,Heartbeat International,http://choicesaz.com/ Yes,,https://www.facebook.com/hcthtposic:/e/tswaiztt/er.com/Chohitctpess:A//Zwww.youtube.com/user/ABCSministries,,,,,,
NEW LIFE PREGNANCY CENTER - MESA,86-1159311,New Life Pregnancy Center,819 South MacDonald,Mesa,AZ,85210,Arizona Baptist Children's Services,https://newlifepregnancy.com/ No,,https://www.facebook.com/hntltppcsA:/Z/t/witter.com/nlpchattzps://www.youtube.comht/tupsse:/r//wAwBwC.Sinmsitnaigsrtarimes.com/ABCSministries/,,,,,,
NEW BEGINNINGS PREGNANCY & PARENTING CENTER,86-0750164,New Beginnings Christian Care Inc.,111 East Frontier St,Payson,AZ,85541,Heartbeat International,https://newbeginningspayson.org/ Yes,,https://www.facebook.com/NewBeginningsPayson/,,,,,,Christian Helplines Inc
HOPE WOMEN'S CENTER - PHOENIX,86-0668354,Hope Women's Center Inc.,1640 East McDowell Rd,Phoenix,AZ,85006,,https://hopewomenscenter.org/ No,,https://www.facebook.com/hopewomenscenterphoenix/,,https://www.instagram.com/hopewomenscenter/,,,,
PHOENIX WOMEN'S CLINICS - WEST PHOENIX,86-0840425,Life Choices Women's Clinic,3516 West McDowell Rd,Phoenix,AZ,85009,Heartbeat International,https://phoenixwomensclinic.com/ Yes,,https://www.facebook.com/womensclinic/,,,,,,
CHOICES HOPE CENTER,86-0536082,Choices Pregnancy Centers of Greater Phoenix Inc,"5757 North Central Ave, Building B",Phoenix,AZ,85012,Heartbeat International,http://choicesaz.com/ Yes,,https://www.facebook.com/hcthtposic:/e/tswaiztt/er.com/Chohitctpess:A//Zwww.youtube.com/user/ABCSministries,,,,,,
ALPHA PREGNANCY RESOURCE CENTER,86-0545519,Alpha Pregnancy Counseling Center Inc.,3040 North 7th Ave,Phoenix,AZ,85013,"Wisconsin Evangelical Lutheran Synod, Christian Life Resources",https://www.alphacenterphx.org/ No,,https://www.facebook.com/alphacenteraz/,,,,,,
CHOICES PREGNANCY CENTER - PHOENIX,86-0536082,Choices Pregnancy Centers of Greater Phoenix Inc,1907 West Camelback Rd,Phoenix,AZ,85015,Heartbeat International,https://www.choicesaz.com/ Yes,,https://www.facebook.com/hcthtposic:/e/tswaiztt/er.com/Chohitctpess:A//Zwww.youtube.com/user/ABCSministries,,,,,,
FIRST WAY PREGNANCY CENTER,23-7216073,First Way Pregnancy Center,3501 North 16th St,Phoenix,AZ,85016,Heartbeat International,1stway.net No,,https://www.facebook.com/1stWayCenter,,,,,https://1stwaydonor.net/,
HOPE WOMEN'S CENTER - WEST PHOENIX,86-0668354,Hope Women's Center Inc.,"5608 North 27th Ave, Suite 11",Phoenix,AZ,85017,,https://hopewomenscenter.org/ No,,https://www.facebook.com/hopewomenscenterphoenix,,https://www.instagram.com/hopewomenscenter/,,,,
PHOENIX WOMEN'S CLINICS - 7TH ST,86-0840424,Life Choices Women's Clinic,8326 North 7th St,Phoenix,AZ,85020,Heartbeat International,https://phoenixwomensclinic.com/ Yes,,https://www.facebook.com/womensclinic/,,,,,,
WITH CHILD CENTER,74-2378359,With Child Ltd,"2625 East Greenway Pkwy, Suite 104",Phoenix,AZ,85032,,https://www.withchildcenter.org/ No,,,,,,,,
NEW LIFE PREGNANCY CENTER - PHOENIX SOUTH,86-1159311,New Life Pregnancy Center,1431 East Southern Ave,Phoenix,AZ,85040,Arizona Baptist Children's Services,https://newlifepregnancy.com/ No,,https://www.facebook.com/hntltppcsA:/Z/x.com/nlpcAZ,,https://www.instagram.com/nlpcAZ/,,,,
AID TO WOMEN CENTER - SOUTH PHOENIX,86-0528953,Aid to Women Center,7625 South 24th St,Phoenix,AZ,85042,Heartbeat International,http://aidtowomencenter.org/ Yes,,https://www.facebook.com/aidtowomencenter/,,,,,,
NEW LIFE PREGNANCY CENTER - PHOENIX,86-1159311,New Life Pregnancy Center,2632 West Augusta Ave,Phoenix,AZ,85051,Arizona Baptist Children's Services,https://newlifepregnancy.com/ No,,https://www.facebook.com/hntltppcsA:/Z/t/witter.com/Chohitctpess:A//Zwww.youtube.comht/tupsse:/r//wAwBwC.Sinmsitnaigsrtarimes.com/ABCSministries/,,,,,,
LIFE CONNECTIONS,84-2044064,Life Connections Pregnancy Resource and Referral,7875 East Florentine Rd,Prescott Valley,AZ,86314,Heartbeat International,https://lifeconnectionsrr.com/ Yes,,https://www.facebook.com/lifeconnectionspregnancy/,,,,,,
COMMUNITY PREGNANCY CENTER,86-0576260,L I F E Ministries Inc,1124 East Gurley St,Prescott,AZ,86301,"Care Net, Heartbeat International",https://www.options-az.com/ No,,https://www.facebook.com/cpcprescott?,,https://www.instagram.com/cpcprescohttt/tps://cpcprescott.org/,,,,
HOPE WOMEN'S CENTER - NORTHERN ARIZONA,86-0668354,Hope Women's Center Inc.,580 Brewer Rd,Sedona,AZ,86336,,https://hopewomenscenter.org/ No,,https://www.facebook.com/hopewomenscenterphoenix,,https://www.instagram.com/hopewomenscenter/,,,,
