name,city,state,zip,url,street_address
Baldwin Park Center,Baldwin Park,CA,91706,https://www.plannedparenthood.org/health-center/california/baldwin-park/91706/baldwin-park-center-9990-90090,4070 Sterling Way Baldwin Park CA 91706
Burbank Health Center,Burbank,CA,91506,https://www.plannedparenthood.org/health-center/california/burbank/91506/burbank-health-center-2236-90070,"916 W Burbank Blvd., Burbank, CA 91506, USA"
Canoga Park Health Center,Canoga Park,CA,91303,https://www.plannedparenthood.org/health-center/california/canoga-park/91303/canoga-park-health-center-2235-90070,"21001 Sherman Way, Canoga Park, CA 91303, USA"
Carson Health Center,Carson,CA,90746,https://www.plannedparenthood.org/health-center/california/carson/90746/carson-health-center-4291-90070,"661 East University Drive, CA Carson, USA"
Chico Health Center,Chico,CA,95973,https://www.plannedparenthood.org/health-center/california/chico/95973/chico-health-center-2770-90200,"3100 Cohasset Rd., Chico, CA 95973, USA"
Chula Vista Health Center,Chula Vista,CA,91911,https://www.plannedparenthood.org/health-center/california/chula-vista/91911/chula-vista-health-center-2328-90110,"1295 Broadway, Chula Vista, CA 91911, USA"
Clearlake Health Center,Clearlake,CA,95422,https://www.plannedparenthood.org/health-center/california/clearlake/95422/clearlake-health-center-4068-90200,"14671 Olympic Drive, Clearlake, CA 95422, USA"
Coachella Health Center,Coachella,CA,92236,https://www.plannedparenthood.org/health-center/california/coachella/92236/coachella-health-center-2186-90110,"49-111 California 111, Coachella, CA 92236, USA"
Compton Health Center,Compton,CA,90221,https://www.plannedparenthood.org/health-center/california/compton/90221/compton-health-center-4290-90070,"4402 East Compton Blvd, Compton, CA 90221, USA"
Virtual Health Center at PPNorCal,Concord,CA,94520,https://www.plannedparenthood.org/health-center/california/concord/94520/virtual-health-center-at-ppnorcal-vc-3930-90200,
Concord Health Center,Concord,CA,94520,https://www.plannedparenthood.org/health-center/california/concord/94520/concord-health-center-3269-90200,"2185 Pacheco Street, Concord, CA 94520, USA"
Corona Health Center,Corona,CA,92881,https://www.plannedparenthood.org/health-center/california/corona/92881/corona-health-center-9999-90110,"2079 Compton Avenue, Corona, CA 92881"
Costa Mesa Health Center,Costa Mesa,CA,92626,https://www.plannedparenthood.org/health-center/california/costa-mesa/92626/costa-mesa-health-center-2286-90160,"15301 Nutmeg Place, Costa Mesa, CA 92626, USA"
El Cajon Health Center,El Cajon,CA,92021,https://www.plannedparenthood.org/health-center/california/el-cajon/92021/el-cajon-health-center-2329-90110,"1685 E. Main Street, El Cajon, CA 92021, USA"
Imperial Valley Homan Center,El Centro,CA,92243,https://www.plannedparenthood.org/health-center/california/el-centro/92243/imperial-valley-homan-center-4182-90110,
El Cerrito Health Center,El Cerrito,CA,94530,https://www.plannedparenthood.org/health-center/california/el-cerrito/94530/el-cerrito-health-center-3940-90200,"280  El Cerrito Plaza, El Cerrito, CA 94530, USA"
El Monte Health Center,El Monte,CA,91732,https://www.plannedparenthood.org/health-center/california/el-monte/91732/el-monte-health-center-2322-90070,"4786 N. Peck Road, El Monte, CA 91732, USA"
Escondido Health Center,Escondido,CA,92025,https://www.plannedparenthood.org/health-center/california/escondido/92025/escondido-health-center-2331-90110,"347 W. Mission Avenue, Escondido, CA 92025, USA"
Eureka Health Center,Eureka,CA,95503,https://www.plannedparenthood.org/health-center/california/eureka/95503/eureka-health-center-2301-90200,"3225 Timber Fall Court, Eureka, CA 95503, USA"
Fairfield Health Center,Fairfield,CA,94533,https://www.plannedparenthood.org/health-center/california/fairfield/94533/fairfield-health-center-2700-90200,"1325 Travis Blvd., Fairfield, CA 94533, USA"
Family First Health Center,Fresno,CA,93710,https://www.plannedparenthood.org/health-center/california/fresno/93710/family-first-health-center-2365-90130,"6095 N. 1st Street, Fresno, CA 93710, USA"
Fulton Street Health Center,Fresno,CA,93728,https://www.plannedparenthood.org/health-center/california/fresno/93728/fulton-street-health-center-2364-90130,"650 N. Fulton Street, Fresno, CA 93728, USA"
Glendora Health Center,Glendora,CA,91740,https://www.plannedparenthood.org/health-center/california/glendora/91740/glendora-health-center-4070-90090,"130 W Route 66, Glendora, CA 91740, USA"
Hayward Health Center,Hayward,CA,94541,https://www.plannedparenthood.org/health-center/california/hayward/94541/hayward-health-center-4150-90130,"1032 A Street, Hayward, CA 94541, USA"
Hemet Mimi Brien Center,Hemet,CA,92544,https://www.plannedparenthood.org/health-center/california/hemet/92544/hemet-mimi-brien-center-3784-90110,1780 E Florida Ave Hemet CA 92544
Huntington Park Health Center,Huntington Park,CA,90255,https://www.plannedparenthood.org/health-center/california/huntington-park/90255/huntington-park-health-center-3831-90070,2550 E Slauson Ave Huntington Park CA 90255
Inglewood Health Center,Inglewood,CA,90302,https://www.plannedparenthood.org/health-center/california/inglewood/90302/inglewood-health-center-3794-90070,
Koreatown Health Center,Koreatown,CA,90006,https://www.plannedparenthood.org/health-center/california/koreatown/90006/koreatown-health-center-3795-90070,3224 W. Olympic Blvd Koreatown CA 90006
Lakewood Health Center,Lakewood,CA,90713,https://www.plannedparenthood.org/health-center/california/lakewood/90713/lakewood-health-center-2359-90070,"5525 Del Amo Blvd., Lakewood, CA 90713, USA"
South Bay Health Center,Lawndale,CA,90260,https://www.plannedparenthood.org/health-center/california/lawndale/90260/south-bay-health-center-2477-90070,"14623 Hawthorne Blvd., Lawndale, CA 90260, USA"
Long Beach Health Center,Long Beach,CA,90806,https://www.plannedparenthood.org/health-center/california/long-beach/90806/long-beach-health-center-3945-90070,
Long Beach Central,Long Beach,CA,90806,https://www.plannedparenthood.org/health-center/california/long-beach/90806/long-beach-central-10025-90070,
Highland Park Health Center,Los Angeles,CA,90042,https://www.plannedparenthood.org/health-center/california/los-angeles/90042/highland-park-health-center-3695-90090,5903 N Figueroa Street Los Angeles CA 90042
Hollywood Health Center,Los Angeles,CA,90029,https://www.plannedparenthood.org/health-center/california/los-angeles/90029/hollywood-health-center-2466-90070,"1014 1/2 N Vermont Ave, Los Angeles, CA 90029, USA"
Telehealth at Planned Parenthood Los Angeles,Los Angeles,CA,90007,https://www.plannedparenthood.org/health-center/california/los-angeles/90007/telehealth-at-planned-parenthood-los-angeles-vc-21956-90070,
Dorothy Hecht Health Center,Los Angeles,CA,90003,https://www.plannedparenthood.org/health-center/california/los-angeles/90003/dorothy-hecht-health-center-2465-90070,"8520 S Broadway, Los Angeles, CA 90003, USA"
S. Mark Taper Foundation Center for Medical Training,Los Angeles,CA,90007,https://www.plannedparenthood.org/health-center/california/los-angeles/90007/s-mark-taper-foundation-center-for-medical-training-3862-90070,"400 West 30th Street, Los Angeles, CA 90007, USA"
East Los Angeles Health Center,Los Angeles,CA,90022,https://www.plannedparenthood.org/health-center/california/los-angeles/90022/east-los-angeles-health-center-3375-90070,"5068 Whittier Blvd., Los Angeles, CA 90022, USA"
Planned Parenthood Baldwin Hills-Crenshaw,Los Angeles,CA,90016,https://www.plannedparenthood.org/health-center/california/los-angeles/90016/planned-parenthood-baldwin-hills-crenshaw-3939-90070,"3637 S. La Brea Ave, Los Angeles, CA 90016, USA"
Manteca Health Center,Manteca,CA,95336,https://www.plannedparenthood.org/health-center/california/manteca/95336/manteca-health-center-2530-90130,
Merced Health Center,Merced,CA,95348,https://www.plannedparenthood.org/health-center/california/merced/95348/merced-health-center-2526-90130,"3166 Collins Dr., Merced, CA 95348, USA"
Mission Viejo Health Center,Mission Viejo,CA,92691,https://www.plannedparenthood.org/health-center/california/mission-viejo/92691/mission-viejo-health-center-2288-90160,
Modesto Health Center,Modesto,CA,95350,https://www.plannedparenthood.org/health-center/california/modesto/95350/modesto-health-center-2527-90130,"1431 McHenry Avenue, Modesto, CA 95350, USA"
Moreno Valley Adrian Family Health Center,Moreno Valley,CA,92553,https://www.plannedparenthood.org/health-center/california/moreno-valley/92553/moreno-valley-adrian-family-health-center-2188-90110,"23100 Eucalyptus Avenue, Moreno Valley, CA 92553, USA"
Mountain View Health Center,Mountain View,CA,94040,https://www.plannedparenthood.org/health-center/california/mountain-view/94040/mountain-view-health-center-2310-90130,"2500 California St, Mountain View, CA 94040"
Murrieta Health Center,Murrieta,CA,92562,https://www.plannedparenthood.org/health-center/california/murrieta/92562/murrieta-health-center-10002-90110,
Napa Health Center,Napa,CA,94558,https://www.plannedparenthood.org/health-center/california/napa/94558/napa-health-center-2702-90200,
North Highlands Health Center,North Highlands,CA,95660,https://www.plannedparenthood.org/health-center/california/north-highlands/95660/north-highlands-health-center-2201-90130,"5700 Watt Ave., North Highlands, CA 95660, USA"
Oakland Health Center,Oakland,CA,94612,https://www.plannedparenthood.org/health-center/california/oakland/94612/oakland-health-center-21934-90130,1400 Broadway Oakland CA 94612
Orange Health Center,Orange,CA,92866,https://www.plannedparenthood.org/health-center/california/orange/92866/orange-health-center-3264-90160,"700 S. Tustin St., Orange, CA 92866, USA"
Oxnard Health Center,Oxnard,CA,93033,https://www.plannedparenthood.org/health-center/california/oxnard/93033/oxnard-health-center-2842-90170,2651 South C St Ste 100 Oxnard CA 93033
Antelope Valley Health Center,Palmdale,CA,93550,https://www.plannedparenthood.org/health-center/california/palmdale/93550/antelope-valley-health-center-4054-90070,"533 E. Palmdale Boulevard, Palmdale, CA 93550, USA"
California Virtual Health Center of PSGV,Pasadena,CA,91104,https://www.plannedparenthood.org/health-center/california/pasadena/91104/california-virtual-health-center-of-psgv-vc-10000-90090,
Pasadena Health Center,Pasadena,CA,91104,https://www.plannedparenthood.org/health-center/california/pasadena/91104/pasadena-health-center-3265-90090,"1045 N. Lake Ave., Pasadena, CA 91104, USA"
Pomona Health Center,Pomona,CA,91767,https://www.plannedparenthood.org/health-center/california/pomona/91767/pomona-health-center-2208-90070,"1550 N Garey Avenue, Pomona, CA 91767, USA"
Rancho Mirage Health Center,Rancho Mirage,CA,92270,https://www.plannedparenthood.org/health-center/california/rancho-mirage/92270/rancho-mirage-health-center-2325-90110,
Redding Health Center,Redding,CA,96002,https://www.plannedparenthood.org/health-center/california/redding/96002/redding-health-center-2376-90200,"2935 Bechelli Lane, Redding, CA 96002, USA"
Redwood City Health Center,Redwood City,CA,94061,https://www.plannedparenthood.org/health-center/california/redwood-city/94061/redwood-city-health-center-4129-90130,"2907 El Camino Real, Redwood City, CA 94061, USA"
Hilltop-Richmond Health Center,Richmond,CA,94806,https://www.plannedparenthood.org/health-center/california/richmond/94806/hilltop-richmond-health-center-2791-90200,"2970 Hilltop Mall Road, Richmond, CA 94806, USA"
Riverside Flaster Family Center,Riverside,CA,92506,https://www.plannedparenthood.org/health-center/california/riverside/92506/riverside-flaster-family-center-2187-90110,"3772 Tibbetts Street, Riverside, CA 92506, USA"
Roseville Health Center,Roseville,CA,95661,https://www.plannedparenthood.org/health-center/california/roseville/95661/roseville-health-center-2197-90130,"729 Sunrise Ave., Roseville, CA 95661, USA"
Fruitridge Health Center,Sacramento,CA,95820,https://www.plannedparenthood.org/health-center/california/sacramento/95820/fruitridge-health-center-2198-90130,"5385 Franklin Blvd., Sacramento, CA 95820, USA"
B Street Health Center,Sacramento,CA,95816,https://www.plannedparenthood.org/health-center/california/sacramento/95816/centro-de-salud-b-street-2200-90130,"201 29th Street, Sacramento, CA 95816, USA"
Capitol Plaza Health Center,Sacramento,CA,95814,https://www.plannedparenthood.org/health-center/california/sacramento/95814/capitol-plaza-health-center-2199-90130,"1125 10th Street, Sacramento, CA 95814, USA"
Salinas Health Center,Salinas,CA,93901,https://www.plannedparenthood.org/health-center/california/salinas/93901/salinas-health-center-2228-90130,"316 N. Main Street, Salinas, CA 93901, USA"
San Bernardino Health Center,San Bernardino,CA,92408,https://www.plannedparenthood.org/health-center/california/san-bernardino/92408/san-bernardino-health-center-2282-90160,"1873 S. Commercenter Dr. W., San Bernardino, CA 92408, USA"
Euclid Avenue Francis Torbert Center,San Diego,CA,92114,https://www.plannedparenthood.org/health-center/california/san-diego/92114/euclid-avenue-francis-torbert-center-2334-90110,"220 Euclid Ave, San Diego, CA 92114, USA"
Telehealth of Planned Parenthood of the Pacific Southwest,San Diego,CA,92108,https://www.plannedparenthood.org/health-center/california/san-diego/92108/telehealth-of-planned-parenthood-of-the-pacific-southwest-vc-6727-90110,
College Avenue Sarah Weddington Center,San Diego,CA,92115,https://www.plannedparenthood.org/health-center/california/san-diego/92115/college-avenue-sarah-weddington-center-2324-90110,"4575 College Ave, San Diego, CA 92115, USA"
First Avenue Michelle Wagner Center,San Diego,CA,92101,https://www.plannedparenthood.org/health-center/california/san-diego/92101/first-avenue-michelle-wagner-center-4036-90110,"2017 First Avenue, San Diego, CA 92101, USA"
Kearny Mesa Joan & Irwin Jacobs Center,San Diego,CA,92111,https://www.plannedparenthood.org/health-center/california/san-diego/92111/kearny-mesa-joan-irwin-jacobs-center-2332-90110,7035 Convoy Ct San Diego CA 92111
Mira Mesa Corton/ Eibl Family Center,San Diego,CA,92126,https://www.plannedparenthood.org/health-center/california/san-diego/92126/mira-mesa-corton-eibl-family-center-2333-90110,"10717 Camino Ruiz, San Diego, CA 92126, USA"
San Francisco Health Center,San Francisco,CA,94109,https://www.plannedparenthood.org/health-center/california/san-francisco/94109/san-francisco-health-center-3997-90200,1522 Bush Street San Francisco 94109
Blossom Hill Health Center,San Jose,CA,95123,https://www.plannedparenthood.org/health-center/california/san-jose/95123/blossom-hill-health-center-3230-90130,"5440 Thornwood Drive, San Jose, CA 95123, USA"
Mar Monte Community Clinic,San Jose,CA,95122,https://www.plannedparenthood.org/health-center/california/san-jose/95122/mar-monte-community-clinic-2437-90130,"1694 Tully Road, CA San Jose, USA"
Eastside Health Center,San Jose,CA,95127,https://www.plannedparenthood.org/health-center/california/san-jose/95127/eastside-health-center-2435-90130,
San Jose Central Health Center,San Jose,CA,95126,https://www.plannedparenthood.org/health-center/california/san-jose/95126/san-jose-central-health-center-3263-90130,"1691 The Alameda, San Jose, CA 95126, USA"
San Luis Obispo Health Center,San Luis Obispo,CA,93401,https://www.plannedparenthood.org/health-center/california/san-luis-obispo/93401/san-luis-obispo-health-center-2252-90170,"743 Pismo Street, San Luis Obispo, CA 93401, USA"
San Rafael Health Center,San Rafael,CA,94901,https://www.plannedparenthood.org/health-center/california/san-rafael/94901/san-rafael-health-center-4114-90200,"2 H Street, San Rafael, CA 94901, USA"
San Ramon Health Center,San Ramon,CA,94583,https://www.plannedparenthood.org/health-center/california/san-ramon/94583/san-ramon-health-center-2572-90200,"200 Porter Drive, San Ramon, CA 94583, USA"
Santa Ana Health Center,Santa Ana,CA,92705,https://www.plannedparenthood.org/health-center/california/santa-ana/92705/santa-ana-health-center-2287-90160,"1421 E. 17th St., Santa Ana, CA 92705, USA"
Santa Barbara Health Center,Santa Barbara,CA,93101,https://www.plannedparenthood.org/health-center/california/santa-barbara/93101/santa-barbara-health-center-3268-90170,"518 Garden Street, Santa Barbara, CA 93101, USA"
Virtual Health Center of California Central Coast,Santa Barbara,CA,93101,https://www.plannedparenthood.org/health-center/california/santa-barbara/93101/virtual-health-center-of-california-central-coast-vc-21981-90170,
Santa Maria Health Center,Santa Maria,CA,93454,https://www.plannedparenthood.org/health-center/california/santa-maria/93454/santa-maria-health-center-2250-90170,"501 E Chapel Street, Santa Maria, CA 93454, USA"
Santa Monica Health Center,Santa Monica,CA,90401,https://www.plannedparenthood.org/health-center/california/santa-monica/90401/santa-monica-health-center-2476-90070,"1316 3rd Street Promenade, Santa Monica, CA 90401, USA"
Santa Rosa Health Center,Santa Rosa,CA,95405,https://www.plannedparenthood.org/health-center/california/santa-rosa/95405/santa-rosa-health-center-3990-90200,"1140 Sonoma Avenue, Santa Rosa, CA 95405, USA"
Seaside Health Center,Seaside,CA,93955,https://www.plannedparenthood.org/health-center/california/seaside/93955/centro-de-salud-seaside-2233-90130,"625 Hilby Ave., Seaside, CA 93955, USA"
Eastland Plaza Health Center,Stockton,CA,95205,https://www.plannedparenthood.org/health-center/california/stockton/95205/eastland-plaza-health-center-2529-90130,"678 N Wilson Way, Stockton, CA 95205, USA"
North Stockton Health Center,Stockton,CA,95207,https://www.plannedparenthood.org/health-center/california/stockton/95207/north-stockton-health-center-2528-90130,"4555 Precissi Lane, Stockton, CA 95207, USA"
Thousand Oaks Health Center,Thousand Oaks,CA,91320,https://www.plannedparenthood.org/health-center/california/thousand-oaks/91320/thousand-oaks-health-center-3851-90170,"1200 W Hillcrest, Thousand Oaks, CA 91320, USA"
Tracy Health Center,Tracy,CA,95376,https://www.plannedparenthood.org/health-center/california/tracy/95376/tracy-health-center-3856-90130,"1441 N. Tracy Blvd., Tracy, CA 95376, USA"
Ukiah Health Center,Ukiah,CA,95482,https://www.plannedparenthood.org/health-center/california/ukiah/95482/ukiah-health-center-4034-90200,"242-A Hospital Drive, Ukiah, CA 95482, USA"
Upland Health Center,Upland,CA,91786,https://www.plannedparenthood.org/health-center/california/upland/91786/upland-health-center-2283-90160,"918 W. Foothill Blvd., Upland, CA 91786, USA"
Vallejo Health Center,Vallejo,CA,94590,https://www.plannedparenthood.org/health-center/california/vallejo/94590/vallejo-health-center-2699-90200,"303 Sacramento St, Vallejo, CA 94590, USA"
Van Nuys Health Center,Van Nuys,CA,91405,https://www.plannedparenthood.org/health-center/california/van-nuys/91405/van-nuys-health-center-2234-90070,"7100 Van Nuys Blvd., Van Nuys, CA 91405, USA"
Ventura Health Center,Ventura,CA,93003,https://www.plannedparenthood.org/health-center/california/ventura/93003/ventura-health-center-2251-90170,"5400 Ralston Street, Ventura, CA 93003, USA"
Victorville Health Center,Victorville,CA,92392,https://www.plannedparenthood.org/health-center/california/victorville/92392/victorville-health-center-4082-90160,"15403 Park Ave. E., Victorville, CA 92392, USA"
Visalia Health Center,Visalia,CA,93291,https://www.plannedparenthood.org/health-center/california/visalia/93291/visalia-health-center-4021-90130,"211 N. Stevenson Street, Visalia, CA 93291, USA"
Vista Isabella Center,Vista,CA,92081,https://www.plannedparenthood.org/health-center/california/vista/92081/vista-isabella-center-4186-90110,"1964 Via Centre, Vista, CA 92081, USA"
Walnut Creek Health Center,Walnut Creek,CA,94596,https://www.plannedparenthood.org/health-center/california/walnut-creek/94596/walnut-creek-health-center-2571-90200,"1357 Oakland Blvd., Walnut Creek, CA 94596, USA"
Watsonville Health Center,Watsonville,CA,95076,https://www.plannedparenthood.org/health-center/california/watsonville/95076/watsonville-health-center-2229-90130,"398 South Green Valley Road, Watsonville, CA 95076, USA"
West Hollywood Health Center,West Hollywood,CA,90069,https://www.plannedparenthood.org/health-center/california/west-hollywood/90069/west-hollywood-health-center-4187-90070,869 Westbourne Dr West Hollywood CA 90069
Westminster Health Center,Westminster,CA,92683,https://www.plannedparenthood.org/health-center/california/westminster/92683/westminster-health-center-2285-90160,"14372 Beach Blvd., Westminster, CA 92683, USA"
Judith and Steaven Jones Health Center,Whittier,CA,90602,https://www.plannedparenthood.org/health-center/california/whittier/90602/judith-and-steaven-jones-health-center-2358-90070,"7655 Greenleaf Ave, Whittier, CA 90602, USA"
Woodland Health Center,Woodland,CA,95695,https://www.plannedparenthood.org/health-center/california/woodland/95695/woodland-health-center-2375-90130,"520 Cottonwood Street, Woodland, CA 95695, USA"
Yuba City Health Center,Yuba City,CA,95912,https://www.plannedparenthood.org/health-center/california/yuba-city/95912/yuba-city-health-center-2374-90130,"347 Alturas Street, Yuba City, CA 95912, USA"
Arvada Health Center,Arvada,CO,80003,https://www.plannedparenthood.org/health-center/colorado/arvada/80003/arvada-health-center-2487-90210,"7735 Wadsworth Boulevard, Arvada, CO 80003, USA"
Boulder Health Center,Boulder,CO,80302,https://www.plannedparenthood.org/health-center/colorado/boulder/80302/boulder-health-center-2488-90210,
Colorado Springs Westside Health Center,Colorado Springs,CO,80907,https://www.plannedparenthood.org/health-center/colorado/colorado-springs/80907/colorado-springs-westside-health-center-3967-90210,"3480 Centennial Blvd., Colorado Springs, CO 80907, USA"
Cortez Health Center,Cortez,CO,81321,https://www.plannedparenthood.org/health-center/colorado/cortez/81321/cortez-health-center-2169-90210,"20 West North Street, Cortez, CO 81321, USA"
Denver Central Health Center,Denver,CO,80218,https://www.plannedparenthood.org/health-center/colorado/denver/80218/denver-central-health-center-2484-90210,"921 E 14th Ave, Denver, CO 80218, USA"
Park Hill Health Center,Denver,CO,80207,https://www.plannedparenthood.org/health-center/colorado/denver/80207/park-hill-health-center-3543-90210,"7155 E 38th Ave, Denver, CO 80207, USA"
Colorado Telehealth,Denver,CO,80207,https://www.plannedparenthood.org/health-center/colorado/denver/80207/colorado-telehealth-vc-3894-90210,
Durango Health Center,Durango,CO,81303,https://www.plannedparenthood.org/health-center/colorado/durango/81303/durango-health-center-2174-90210,"46 Suttle St, Durango, CO 81303, USA"
Fort Collins Health Center,Fort Collins,CO,80521,https://www.plannedparenthood.org/health-center/colorado/fort-collins/80521/fort-collins-health-center-4087-90210,"825 South Shields St, Fort Collins, CO 80521, USA"
Glenwood Springs Health Center,Glenwood Springs,CO,81601,https://www.plannedparenthood.org/health-center/colorado/glenwood-springs/81601/glenwood-springs-health-center-2172-90210,"50923 Highway 6, Glenwood Springs, CO 81601, USA"
Greeley Health Center,Greeley,CO,80634,https://www.plannedparenthood.org/health-center/colorado/greeley/80634/greeley-health-center-2173-90210,"3487B W 10th Street, Greeley, CO 80634, USA"
South Metro,Greenwood Village,CO,80111,https://www.plannedparenthood.org/health-center/colorado/greenwood-village/80111/south-metro-21937-90210,8765 E Orchard Rd Ste 702 Greenwood Village Colorado 80111-5009
Salida Health Center,Salida,CO,81201,https://www.plannedparenthood.org/health-center/colorado/salida/81201/salida-health-center-2277-90210,"248 E 1st St, CO Salida, USA"
Bridgeport Center,Bridgeport,CT,06606,https://www.plannedparenthood.org/health-center/connecticut/bridgeport/06606/bridgeport-center-4275-90220,"4697 Main Street, Bridgeport, CT 06606, USA"
Danbury Center,Danbury,CT,06810,https://www.plannedparenthood.org/health-center/connecticut/danbury/06810/danbury-center-2539-90220,"44 Main Street, Danbury, CT 06810, USA"
Enfield Center,Enfield,CT,06082,https://www.plannedparenthood.org/health-center/connecticut/enfield/06082/enfield-center-2219-90220,"111 Hazard Ave., Enfield, CT 06082, USA"
Hartford North Center,Hartford,CT,06112,https://www.plannedparenthood.org/health-center/connecticut/hartford/06112/hartford-north-center-2220-90220,"1229 Albany Avenue, Hartford, CT 06112, USA"
Manchester Center,Manchester,CT,06040,https://www.plannedparenthood.org/health-center/connecticut/manchester/06040/manchester-center-2221-90220,
Meriden Center,Meriden,CT,06451,https://www.plannedparenthood.org/health-center/connecticut/meriden/06451/centro-meriden-2543-90220,"26 Womens Way, Meriden, CT 06451, USA"
Connecticut Virtual Health Center,New Haven,CT,06511,https://www.plannedparenthood.org/health-center/connecticut/new-haven/06511/connecticut-virtual-health-center-vc-100700105-90220,
New Haven Center,New Haven,CT,06511,https://www.plannedparenthood.org/health-center/connecticut/new-haven/06511/new-haven-center-3271-90220,"345 Whitney Ave, New Haven, CT 06511, USA"
New London Center,New London,CT,06320,https://www.plannedparenthood.org/health-center/connecticut/new-london/06320/new-london-center-2223-90220,"467 Ocean Ave, New London, CT 06320, USA"
Norwich Center,Norwich,CT,06360,https://www.plannedparenthood.org/health-center/connecticut/norwich/06360/norwich-center-2217-90220,"12 Case Street, Norwich, CT 06360, USA"
Stamford Center,Stamford,CT,06902,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,"35 Sixth Street, Stamford, CT 06902, USA"
Torrington Center,Torrington,CT,06790,https://www.plannedparenthood.org/health-center/connecticut/torrington/06790/torrington-center-2222-90220,"249 Winsted Road, Torrington, CT 06790, USA"
Waterbury Center,Waterbury,CT,06708,https://www.plannedparenthood.org/health-center/connecticut/waterbury/06708/waterbury-center-2540-90220,"617 Watertown Avenue, Waterbury, CT 06708, USA"
West Hartford Center,West Hartford,CT,06110,https://www.plannedparenthood.org/health-center/connecticut/west-hartford/06110/west-hartford-center-2216-90220,"1030 New Britain Ave, West Hartford, CT 06110, USA"
Willimantic Center,Willimantic,CT,06226,https://www.plannedparenthood.org/health-center/connecticut/willimantic/06226/willimantic-center-2224-90220,"1548 W Main Street, Willimantic, CT 06226, USA"
Dover Center,Dover,DE,19901,https://www.plannedparenthood.org/health-center/delaware/dover/19901/dover-center-2896-90240,"805 S Governors Ave, Dover, DE 19901, USA"
Newark Center,Newark,DE,19711,https://www.plannedparenthood.org/health-center/delaware/newark/19711/newark-center-2895-90240,"140 E Delaware Ave, Newark, DE 19711, USA"
Seaford Center,Seaford,DE,19973,https://www.plannedparenthood.org/health-center/delaware/seaford/19973/seaford-center-3944-90240,800 Health Services Drive Seaford DE 19973
Wilmington Center,Wilmington,DE,19801,https://www.plannedparenthood.org/health-center/delaware/wilmington/19801/wilmington-center-3272-90240,"625 N Shipley Street, Wilmington, DE 19801, USA"
Fort Myers Health Center,Fort Myers,FL,33966,https://www.plannedparenthood.org/health-center/florida/fort-myers/33966/fort-myers-health-center-2505-90320,"6418 Commerce Park Drive, Ft. Myers, FL 33966, USA"
Jacksonville Health Center,Jacksonville,FL,32217,https://www.plannedparenthood.org/health-center/florida/jacksonville/32217/jacksonville-health-center-3278-90320,"5978 Powers Avenue, Jacksonville, FL 32217, USA"
Kissimmee Health Center,Kissimmee,FL,34741,https://www.plannedparenthood.org/health-center/florida/kissimmee/34741/kissimmee-health-center-4144-90320,"610 Oak Commons Blvd., Kissimmee, FL 34741, USA"
